filename,patchcore_score
Kalor_Canon_2014-11-14_01.12.31 2.jpg,
Suki_Canon_2014-11-14_01.12.40 2.jpg,
Suki_Canon_2014-11-14_01.12.40.jpg,
Kalor_Canon_2014-11-14_01.12.31.jpg,31.544301986694336
Kalor_Canon_2014-11-14_01.12.31.jpg,31.544301986694336
Suki_Canon_2014-11-14_02.12.41 2.jpg,
Suki_Canon_2014-11-14_02.12.41.jpg,
Suki_Canon_2014-11-14_17.13.14 2.jpg,
Suki_Canon_2014-11-14_17.13.14.jpg,
Kalor_Canon_2014-11-14_17.52.26.jpg,34.052730560302734
Kalor_Canon_2014-11-14_17.52.26 2.jpg,
Kalor_Canon_2014-11-14_17.52.26.jpg,34.052730560302734
Suki_Canon_2014-11-14_22.12.42 2.jpg,
Suki_Canon_2014-11-14_22.12.42.jpg,
Kalor_Canon_2014-11-14_23.12.53.jpg,42.35722351074219
Kalor_Canon_2014-11-14_23.12.53 2.jpg,
Kalor_Canon_2014-11-14_23.12.53.jpg,42.35722351074219
Kalor_Canon_2014-11-15_00.12.52 2.jpg,
Kalor_Canon_2014-11-15_00.12.52.jpg,42.341651916503906
Suki_Canon_2014-11-15_00.12.41 2.jpg,
Suki_Canon_2014-11-15_00.12.41.jpg,
Kalor_Canon_2014-11-15_00.12.52.jpg,42.341651916503906
Suki_Canon_2014-11-15_01.12.41 2.jpg,
Suki_Canon_2014-11-15_01.12.41.jpg,
Kalor_Canon_2014-11-15_05.12.32 2.jpg,
Kalor_Canon_2014-11-15_05.12.32.jpg,32.4653205871582
Kalor_Canon_2014-11-15_05.12.32.jpg,32.4653205871582
Suki_Canon_2014-11-15_08.12.41 2.jpg,
Suki_Canon_2014-11-15_08.12.41.jpg,
Kalor_Canon_2014-11-15_11.13.04.jpg,31.58343505859375
Kalor_Canon_2014-11-15_11.13.04 2.jpg,
Kalor_Canon_2014-11-15_11.13.04.jpg,31.58343505859375
Kalor_Canon_2014-11-15_17.13.06.jpg,35.0125732421875
Suki_Canon_2014-11-15_17.13.14.jpg,
Kalor_Canon_2014-11-15_17.13.06 2.jpg,
Suki_Canon_2014-11-15_17.13.14 2.jpg,
Kalor_Canon_2014-11-15_17.13.06.jpg,35.0125732421875
Kalor_Canon_2014-11-15_22.12.53 2.jpg,
Kalor_Canon_2014-11-15_22.12.53.jpg,39.49626159667969
Suki_Canon_2014-11-15_22.12.42 2.jpg,
Suki_Canon_2014-11-15_22.12.42.jpg,
Kalor_Canon_2014-11-15_22.12.53.jpg,39.49626159667969
Suki_Canon_2014-11-15_23.12.41 2.jpg,
Kalor_Canon_2014-11-15_23.12.53.jpg,43.436561584472656
Suki_Canon_2014-11-15_23.12.41.jpg,
Kalor_Canon_2014-11-15_23.12.53 2.jpg,
Kalor_Canon_2014-11-15_23.12.53.jpg,43.436561584472656
Kalor_Canon_2014-11-16_00.12.52 2.jpg,
Kalor_Canon_2014-11-16_00.12.52.jpg,33.438194274902344
Kalor_Canon_2014-11-16_00.12.52.jpg,33.438194274902344
Suki_Canon_2014-11-16_01.12.41 2.jpg,
Suki_Canon_2014-11-16_01.12.41.jpg,
Suki_Canon_2014-11-16_02.12.41 2.jpg,
Kalor_Canon_2014-11-16_02.12.31.jpg,34.30929183959961
Kalor_Canon_2014-11-16_02.12.31 2.jpg,
Suki_Canon_2014-11-16_02.12.41.jpg,
Kalor_Canon_2014-11-16_02.12.31.jpg,34.30929183959961
Suki_Canon_2014-11-16_17.13.14.jpg,
Suki_Canon_2014-11-16_17.13.14 2.jpg,
Suki_Canon_2014-11-16_22.12.42 2.jpg,
Suki_Canon_2014-11-16_22.12.42.jpg,
Kalor_Canon_2014-11-16_23.12.53.jpg,41.93724822998047
Suki_Canon_2014-11-16_23.12.41.jpg,
Kalor_Canon_2014-11-16_23.12.53 2.jpg,
Suki_Canon_2014-11-16_23.12.41 2.jpg,
Kalor_Canon_2014-11-16_23.12.53.jpg,41.93724822998047
Suki_Canon_2014-11-17_00.12.41 2.jpg,
Kalor_Canon_2014-11-17_00.12.52.jpg,37.4087028503418
Suki_Canon_2014-11-17_00.12.41.jpg,
Kalor_Canon_2014-11-17_00.12.52 2.jpg,
Kalor_Canon_2014-11-17_00.12.52.jpg,37.4087028503418
Suki_Canon_2014-11-17_01.12.42 2.jpg,
Suki_Canon_2014-11-17_01.12.42.jpg,
Kalor_Canon_2014-11-17_01.12.31 2.jpg,
Kalor_Canon_2014-11-17_01.12.31.jpg,32.40932083129883
Kalor_Canon_2014-11-17_01.12.31.jpg,32.40932083129883
Suki_Canon_2014-11-17_02.12.42 2.jpg,
Suki_Canon_2014-11-17_02.12.42.jpg,
Kalor_Canon_2014-11-17_02.12.30 2.jpg,
Kalor_Canon_2014-11-17_02.12.30.jpg,32.52841567993164
Kalor_Canon_2014-11-17_02.12.30.jpg,32.52841567993164
Suki_Canon_2014-11-17_05.12.42 2.jpg,
Suki_Canon_2014-11-17_05.12.42.jpg,
Suki_Canon_2014-11-17_08.12.41 2.jpg,
Suki_Canon_2014-11-17_08.12.41.jpg,
Suki_Canon_2014-11-17_17.13.15.jpg,
Suki_Canon_2014-11-17_17.13.15 2.jpg,
Suki_Canon_2014-11-17_22.12.43 2.jpg,
Suki_Canon_2014-11-17_22.12.43.jpg,
Suki_Canon_2014-11-17_23.12.41 2.jpg,
Suki_Canon_2014-11-17_23.12.41.jpg,
Suki_Canon_2014-11-18_00.12.41.jpg,
Suki_Canon_2014-11-18_00.12.41 2.jpg,
Suki_Canon_2014-11-18_01.12.41.jpg,
Suki_Canon_2014-11-18_01.12.41 2.jpg,
Kalor_Canon_2014-11-18_01.12.32 2.jpg,
Kalor_Canon_2014-11-18_01.12.32.jpg,46.122169494628906
Kalor_Canon_2014-11-18_01.12.32.jpg,46.122169494628906
Suki_Canon_2014-11-18_02.12.41 2.jpg,
Suki_Canon_2014-11-18_02.12.41.jpg,
Kalor_Canon_2014-11-18_02.12.32 2.jpg,
Kalor_Canon_2014-11-18_02.12.32.jpg,36.6270866394043
Kalor_Canon_2014-11-18_02.12.32.jpg,36.6270866394043
Suki_Canon_2014-11-18_05.12.41 2.jpg,
Suki_Canon_2014-11-18_05.12.41.jpg,
Kalor_Canon_2014-11-18_05.12.32 2.jpg,
Kalor_Canon_2014-11-18_05.12.32.jpg,34.959991455078125
Kalor_Canon_2014-11-18_05.12.32.jpg,34.959991455078125
Suki_Canon_2014-11-18_17.13.13 2.jpg,
Suki_Canon_2014-11-18_17.13.13.jpg,
Suki_Canon_2014-11-18_22.12.43 2.jpg,
Suki_Canon_2014-11-18_22.12.43.jpg,
Suki_Canon_2014-11-19_00.12.42 2.jpg,
Suki_Canon_2014-11-19_00.12.42.jpg,
Kalor_Canon_2014-11-19_01.12.31 2.jpg,
Suki_Canon_2014-11-19_01.12.42 2.jpg,
Kalor_Canon_2014-11-19_01.12.31.jpg,28.850343704223633
Suki_Canon_2014-11-19_01.12.42.jpg,
Kalor_Canon_2014-11-19_01.12.31.jpg,28.850343704223633
Kalor_Canon_2014-11-19_02.12.32 2.jpg,
Kalor_Canon_2014-11-19_02.12.32.jpg,31.51047706604004
Kalor_Canon_2014-11-19_02.12.32.jpg,31.51047706604004
Suki_Canon_2014-11-19_08.12.42.jpg,
Kalor_Canon_2014-11-19_11.13.03.jpg,33.895103454589844
Kalor_Canon_2014-11-19_11.13.03.jpg,33.895103454589844
Suki_Canon_2014-11-20_08.12.42.jpg,
Kalor_Canon_2014-11-20_11.13.04.jpg,34.874656677246094
Kalor_Canon_2014-11-20_11.13.04.jpg,34.874656677246094
Kalor_Canon_2014-11-20_17.13.04.jpg,39.83525466918945
Suki_Canon_2014-11-20_17.13.13.jpg,
Kalor_Canon_2014-11-20_17.13.04.jpg,39.83525466918945
Kalor_Canon_2014-11-20_22.12.53.jpg,38.42961502075195
Suki_Canon_2014-11-20_22.12.42.jpg,
Kalor_Canon_2014-11-20_22.12.53.jpg,38.42961502075195
Kalor_Canon_2014-11-21_00.12.53.jpg,
Kalor_Canon_2014-11-21_00.12.53.jpg,
Kalor_Canon_2014-11-21_01.12.31.jpg,33.15049743652344
Suki_Canon_2014-11-21_01.12.41.jpg,
Kalor_Canon_2014-11-21_01.12.31.jpg,33.15049743652344
Kalor_Canon_2014-11-21_02.12.31.jpg,30.600357055664062
Suki_Canon_2014-11-21_02.12.42.jpg,
Kalor_Canon_2014-11-21_02.12.31.jpg,30.600357055664062
Kalor_Canon_2014-11-26_11.13.05.jpg,30.25584602355957
Kalor_Canon_2014-11-26_11.13.05.jpg,30.25584602355957
Suki_Canon_2014-11-26_17.13.13.jpg,
Suki_Canon_2014-11-26_22.12.42.jpg,
